Cursos,Total Vagas Regulares,Total Vagas VU,Ampla Concorrência Mínimo,Ampla Concorrência Máximo,Reserva de Vagas para PP 15%,"Reserva de Vagas para PP 27,2%",string
Administração (Noturno),180,143,94,116,27,49,"## Vagas do curso Administração (Noturno)
O curso de Administração (Noturno) possui um total de 180 vagas regulares, das quais 143 são oferecidas pelo vestibular da Unicamp. O número de vagas para ampla concorrência pode variar entre 94 e 116 vagas. O número de vagas reservadas para candidatos(as) autodeclarados(as) pretos(as) e pardos(as) pode variar entre 27 e 49.

"
Administração Pública (Noturno),60,47,31,38,9,16,"## Vagas do curso Administração Pública (Noturno)
O curso de Administração Pública (Noturno) possui um total de 60 vagas regulares, das quais 47 são oferecidas pelo vestibular da Unicamp. O número de vagas para ampla concorrência pode variar entre 31 e 38 vagas. O número de vagas reservadas para candidatos(as) autodeclarados(as) pretos(as) e pardos(as) pode variar entre 9 e 16.

"
Arquitetura e Urbanismo (Noturno),30,24,16,19,5,8,"## Vagas do curso Arquitetura e Urbanismo (Noturno)
O curso de Arquitetura e Urbanismo (Noturno) possui um total de 30 vagas regulares, das quais 24 são oferecidas pelo vestibular da Unicamp. O número de vagas para ampla concorrência pode variar entre 16 e 19 vagas. O número de vagas reservadas para candidatos(as) autodeclarados(as) pretos(as) e pardos(as) pode variar entre 5 e 8.

"
Artes Cênicas (Integral)**,25,25,16,19,6,9,"## Vagas do curso Artes Cênicas (Integral)**
O curso de Artes Cênicas (Integral)** possui um total de 25 vagas regulares, das quais 25 são oferecidas pelo vestibular da Unicamp. O número de vagas para ampla concorrência pode variar entre 16 e 19 vagas. O número de vagas reservadas para candidatos(as) autodeclarados(as) pretos(as) e pardos(as) pode variar entre 6 e 9.

"
Artes Visuais (Integral)**,30,30,19,22,8,11,"## Vagas do curso Artes Visuais (Integral)**
O curso de Artes Visuais (Integral)** possui um total de 30 vagas regulares, das quais 30 são oferecidas pelo vestibular da Unicamp. O número de vagas para ampla concorrência pode variar entre 19 e 22 vagas. O número de vagas reservadas para candidatos(as) autodeclarados(as) pretos(as) e pardos(as) pode variar entre 8 e 11.

"
Ciência da Computação (Noturno),50,40,26,32,8,14,"## Vagas do curso Ciência da Computação (Noturno)
O curso de Ciência da Computação (Noturno) possui um total de 50 vagas regulares, das quais 40 são oferecidas pelo vestibular da Unicamp. O número de vagas para ampla concorrência pode variar entre 26 e 32 vagas. O número de vagas reservadas para candidatos(as) autodeclarados(as) pretos(as) e pardos(as) pode variar entre 8 e 14.

"
Ciências Biológicas - Licenciatura (Noturno),45,33,21,26,7,12,"## Vagas do curso Ciências Biológicas - Licenciatura (Noturno)
O curso de Ciências Biológicas - Licenciatura (Noturno) possui um total de 45 vagas regulares, das quais 33 são oferecidas pelo vestibular da Unicamp. O número de vagas para ampla concorrência pode variar entre 21 e 26 vagas. O número de vagas reservadas para candidatos(as) autodeclarados(as) pretos(as) e pardos(as) pode variar entre 7 e 12.

"
Ciências Biológicas (Integral),45,33,21,26,7,12,"## Vagas do curso Ciências Biológicas (Integral)
O curso de Ciências Biológicas (Integral) possui um total de 45 vagas regulares, das quais 33 são oferecidas pelo vestibular da Unicamp. O número de vagas para ampla concorrência pode variar entre 21 e 26 vagas. O número de vagas reservadas para candidatos(as) autodeclarados(as) pretos(as) e pardos(as) pode variar entre 7 e 12.

"
Ciências do Esporte (Integral),60,46,30,37,9,16,"## Vagas do curso Ciências do Esporte (Integral)
O curso de Ciências do Esporte (Integral) possui um total de 60 vagas regulares, das quais 46 são oferecidas pelo vestibular da Unicamp. O número de vagas para ampla concorrência pode variar entre 30 e 37 vagas. O número de vagas reservadas para candidatos(as) autodeclarados(as) pretos(as) e pardos(as) pode variar entre 9 e 16.

"
Ciências Econômicas (Integral),70,56,37,45,11,19,"## Vagas do curso Ciências Econômicas (Integral)
O curso de Ciências Econômicas (Integral) possui um total de 70 vagas regulares, das quais 56 são oferecidas pelo vestibular da Unicamp. O número de vagas para ampla concorrência pode variar entre 37 e 45 vagas. O número de vagas reservadas para candidatos(as) autodeclarados(as) pretos(as) e pardos(as) pode variar entre 11 e 19.

"
