Curso,Prioritarias,NMO,Peso3,Peso2,Peso1
Administração (Noturno) (B),LPL; MAT,400,LPL; MAT,HIS; GEO,INTER
Administração Pública (Noturno) (B),LPL; HIS,400,LPL; MAT; HIS; GEO,-,INTER
Arquitetura e Urbanismo (Noturno) (A),HE,500,HE; MAT,-,LPL; INTER; HIS; GEO
Artes Cênicas (Integral) (A),HE; LPL,500,HE; LPL,-,MAT; HIST; GEO; INTER
Artes Visuais (Integral) (A),HE; HIS,500,HE; LPL; HIS; GEO,INTER,MAT
Ciências Econômicas (Integral),MAT; HIS,450,LPL; HIS; GEO,MAT,INTER
Ciências Econômicas (Noturno),MAT; HIS,450,LPL; HIS; GEO,MAT,INTER
Ciências Sociais (Integral) ,LPL; HIS,500,LPL; HIS; GEO,MAT,INTER
Ciências Sociais (Noturno) ,LPL; HIS,500,LPL; HIS; GEO,MAT,INTER
Comunicação Social - Midialogia (Integral),HIS; MAT,450,LPL; HIS; GEO,MAT,INTER
Dança (Integral) (A),HE; LPL,500,HE,LPL,MAT; HIST; GEO; INTER
Estudos Literários (Integral),LPL; HIS,500,LPL; HIS; GEO,MAT,INTER
Filosofia (Integral),LPL,500,LPL,MAT; HIS,GEO; INTER
Geografia (Integral),LPL; GEO,400,LPL; HIS; GEO,MAT,INTER
Geografia (Noturno),LPL; GEO,400,LPL; HIS; GEO,MAT,INTER
História (Integral),LPL; HIS,500,LPL; HIS; GEO,MAT,INTER
Licenciatura em Letras - Português (Integral),LPL; HIS,500,LPL; HIS; GEO,MAT,INTER
Licenciatura em Letras - Português (Noturno),LPL; HIS,500,LPL; HIS; GEO,MAT,INTER
Linguística (Integral),LPL; HIS,500,LPL; HIS; GEO,MAT,INTER
Música: Composição (Integral) (A) ,HE,-,HE,LPL,MAT; HIST; GEO; INTER
Música Erudita: Instrumentos (Integral) (A) (D),HE,-,HE,LPL,MAT; HIST; GEO; INTER
Música: Licenciatura (Integral) (A),HE,-,HE,LPL,MAT; HIST; GEO; INTER
Música Popular: Instrumentos (Integral) (A) (E),HE,-,HE,LPL,MAT; HIST; GEO; INTER
Música: Regência (Integral) (A),HE,-,HE,LPL,MAT; HIST; GEO; INTER
Pedagogia (Integral),LPL; HIS,400,LPL; HIS; GEO,MAT,INTER
Pedagogia (Noturno),LPL; HIS,400,LPL; HIS; GEO,MAT,INTER
Ciências Biológicas (Integral) ,QUI; BIO,450,BIO; INTER,LPL; MAT; QUI,-
Ciências do Esporte (Integral) (B),LPL; BIO,400,-,LPL; MAT; QUI; BIO,INTER
Educação Física (Integral) ,LPL; BIO,450,LPL; BIO,INTER,MAT; QUI
Educação Física (Noturno),LPL; BIO,450,LPL; BIO,INTER,MAT; QUI
Enfermagem (Integral),LPL; BIO,450,LPL; MAT; BIO,QUI,INTER
Farmácia (Integral),QUI; BIO,450,LPL; MAT; QUI; BIO,-,INTER
Fonoaudiologia (Integral),LPL; BIO,450,LPL; BIO,MAT; QUI; INTER,-
Licenciatura em Ciências Biológicas (Noturno),QUI; BIO,450,BIO; INTER,LPL; MAT; QUI,-
Medicina - Unicamp (Integral),LPL; BIO,550,LPL; BIO,MAT; QUI; INTER,-
Nutrição (Integral) (B),LPL; BIO,450,LPL; BIO,MAT; QUI; INTER,-
Odontologia (Integral) (F),QUI; BIO,400,LPL; BIO,MAT; QUI,INTER
Ciência da Computação (Noturno),MAT,500,MAT,LPL; FIS,QUI; INTER
Curso 51: Engenharia Física/Física/Física Médica e Biomédica/ Matemática/Matemática Aplicada e Computacional (Integral) (C),MAT; FIS,450,MAT; FIS,LPL; QUI,INTER
Engenharia Agrícola (Integral) ,MAT; FIS,450,MAT; FIS,LPL; QUI,INTER
Engenharia Ambiental (Noturno) (G),LPL; MAT,500,LPL; MAT; QUI; FIS,-,INTER
Engenharia Civil (Integral),MAT,500,LPL; MAT; FIS,QUI,INTER
Engenharia de Alimentos (Integral) ,LPL; MAT,500,LPL; MAT; QUI,FIS,INTER
Engenharia de Alimentos (Noturno),LPL; MAT,500,LPL; MAT; QUI,FIS,INTER
Engenharia de Computação (Integral),MAT,550,MAT,LPL; FIS,QUI; INTER
Engenharia de Controle e Automação (Noturno),MAT; FIS,500,LPL; MAT; FIS,QUI,INTER
Engenharia de Manufatura (Integral) (B),MAT; FIS,450,LPL; MAT; FIS; QUI,-,INTER
Engenharia de Produção (Integral) (B),MAT; FIS,450,LPL; MAT; FIS; QUI,-,INTER
Engenharia de Telecomunicações (Integral),MAT; FIS,450,LPL; MAT; FIS,QUI,INTER
